ticker,has_fundamentals,fundamentals_ready,missing_fundamentals_fields,source,updated_at
EPSN,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.120310+00:00
EQ,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.120675+00:00
EQIX,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.121033+00:00
EQPT,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.121404+00:00
EQR,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.121788+00:00
EQT,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.122167+00:00
ERAS,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.122536+00:00
ERIE,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.122895+00:00
ERII,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.123262+00:00
ERNA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.124892+00:00
ES,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.126721+00:00
ESCA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.129646+00:00
ESEA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.130168+00:00
ESLA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.130574+00:00
ESLT,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.130976+00:00
ESOA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:28.131364+00:00
